Locality,Cluster Full Name,Cluster Name,Region,Subregion,Grouping,Milestone,Reservoir,Associated
Belmont,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Belvedere,CA-NC 07 Marin County,Marin County,CA,NC,East Bay,M2,,
Benicia,CA-NC 18 Solano County,Solano County,CA,NC,East Bay,M2,,
Benton Paiute Reservation,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Berkeley,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Berry Creek Rancheria,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Beverly Hills,CA-SW 01 Los Angeles,Los Angeles,CA,SW,Los Angeles,M3,Reservoir,
Big Bear Lake,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Big Bend Rancheria,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Big Lagoon Rancheria,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Big Pine Reservation,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Big Sandy Rancheria,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Big Valley Rancheria,CA-NC 21 Lake County,Lake County,CA,NC,East Bay,M1,,
Biggs,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Bishop,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Bishop Reservation,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Blue Lake,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Blue Lake Rancheria,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Blythe,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Bradbury,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Brawley,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Brea,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Brentwood,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Bridgeport Reservation,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Brisbane,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Buellton,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Buena Park,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Burbank,CA-SW 08 Glendale,Glendale,CA,SW,San Gabriel Valley,M2,,
Burlingame,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Butte County,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Cahuilla Reservation,CA-SE 07 Temecula,Temecula,CA,SE,San Diego,M2,,
Calabasas,CA-SW 17 Thousand Oaks,Thousand Oaks,CA,SW,Los Angeles,M3,,
Calaveras County,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Calexico,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
California City,CA-SW 03 Bakersfield,Bakersfield,CA,SW,Los Angeles,M2,,
Calimesa,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Calipatria,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Calistoga,CA-NC 06 Napa County,Napa County,CA,NC,East Bay,M1,,
Camarillo,CA-SW 28 Ventura,Ventura,CA,SW,Los Angeles,M2,,
Campbell,CA-NC 05 San Jose,San Jose,CA,NC,Santa Clara County West,M2,,
Campo Reservation,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
Canyon Lake,CA-SE 07 Temecula,Temecula,CA,SE,San Diego,M2,,
Capitan Grande Reservation,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
Capitola,CA-NC 15 Santa Cruz County,Santa Cruz County,CA,NC,Santa Clara County West,M2,,
Carlsbad,CA-SE 15 San Diego North Coast,San Diego North Coast,CA,SE,San Diego,M2,,
Carmel-by-the-Sea,CA-NC 23 Monterey County,Monterey County,CA,NC,Santa Clara County West,M2,,
Carmichael,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Carpinteria,CA-SW 28 Ventura,Ventura,CA,SW,Los Angeles,M2,,
Carson,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Cathedral City,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Ceres,CA-NI 07 Stanislaus County,Stanislaus County,CA,NI,Fresno,M2,,
Cerritos,CA-SW 32 Long Beach,Long Beach,CA,SW,Los Angeles,M2,,
Chemehuevi Reservation,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Chico,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Chino,CA-SW 02 Upland,Upland,CA,SW,San Gabriel Valley,M2,,
Chino Hills,CA-SW 02 Upland,Upland,CA,SW,San Gabriel Valley,M2,,
Chowchilla,CA-NI 05 Madera County North,Madera County North,CA,NI,Fresno,M2,,
Chula Vista,CA-SE 18 San Diego,San Diego,CA,SE,San Diego,M3,Reservoir,Associated
Citrus Heights,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Claremont,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Clayton,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Clearlake,CA-NC 21 Lake County,Lake County,CA,NC,East Bay,M1,,
Cloverdale,CA-NC 14 Sonoma County,Sonoma County,CA,NC,East Bay,M2,,
Clovis,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Coachella,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Coalinga,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Cold Springs Rancheria,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Colfax,CA-NI 11 Placer County,Placer County,CA,NI,Sacramento,M2,,
Colma,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Colton,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Colusa,CA-NI 14 Yuba County,Yuba County,CA,NI,Sacramento,M2,,
Colusa County,CA-NI 14 Yuba County,Yuba County,CA,NI,Sacramento,M2,,
Colusa Rancheria,CA-NI 14 Yuba County,Yuba County,CA,NI,Sacramento,M2,,
Commerce,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Compton,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Concord,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Contra Costa County Central,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Contra Costa County East,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Contra Costa County Northwest,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Corcoran,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Corning,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Corona,CA-SE 06 Riverside,Riverside,CA,SE,San Diego,M2,,
Coronado,CA-SE 18 San Diego,San Diego,CA,SE,San Diego,M3,Reservoir,Associated
Corte Madera,CA-NC 07 Marin County,Marin County,CA,NC,East Bay,M2,,
Cortina Indian Rancheria,CA-NI 14 Yuba County,Yuba County,CA,NI,Sacramento,M2,,
Costa Mesa,CA-SE 16 Orange County Central,Orange County Central,CA,SE,San Diego,M3,,
Cotati,CA-NC 14 Sonoma County,Sonoma County,CA,NC,East Bay,M2,,
Covina,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Coyote Valley Reservation,CA-NC 22 Mendocino County,Mendocino County,CA,NC,East Bay,M2,,
Crescent City,CA-NC 26 Del Norte County,Del Norte County,CA,NC,East Bay,M1,,
Cudahy,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Culver City,CA-SW 01 Los Angeles,Los Angeles,CA,SW,Los Angeles,M3,Reservoir,
Cupertino,CA-NC 04 Santa Clara County West,Santa Clara County West,CA,NC,Santa Clara County West,M3,Reservoir,
Cypress,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Daly City,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Dana Point,CA-SE 05 Orange County South,Orange County South,CA,SE,San Diego,M3,,
Danville,CA-NC 02 Alameda County Central (Pleasanton),Alameda County Central (Pleasanton),CA,NC,East Bay,M2,,
Davis,CA-NI 12 Yolo County,Yolo County,CA,NI,Sacramento,M2,,
Del Mar,CA-SE 15 San Diego North Coast,San Diego North Coast,CA,SE,San Diego,M2,,
Del Norte County,CA-NC 26 Del Norte County,Del Norte County,CA,NC,East Bay,M1,,
Del Rey Oaks,CA-NC 23 Monterey County,Monterey County,CA,NC,Santa Clara County West,M2,,
Delano,CA-SW 03 Bakersfield,Bakersfield,CA,SW,Los Angeles,M2,,
Desert Hot Springs,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Diamond Bar,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Dinuba,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Dixon,CA-NC 18 Solano County,Solano County,CA,NC,East Bay,M2,,
Dorris,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Dos Palos,CA-NI 06 Merced County,Merced County,CA,NI,Fresno,M2,,
Downey,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Duarte,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Dublin,CA-NC 02 Alameda County Central (Pleasanton),Alameda County Central (Pleasanton),CA,NC,East Bay,M2,,
Dunsmuir,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
East Palo Alto,CA-NC 04 Santa Clara County West,Santa Clara County West,CA,NC,Santa Clara County West,M3,Reservoir,
Eastvale,CA-SE 06 Riverside,Riverside,CA,SE,San Diego,M2,,
El Cajon,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
El Centro,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
El Cerrito,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
El Dorado County NW,CA-NI 19 El Dorado County,El Dorado County,CA,NI,Sacramento,M2,,
El Dorado County SE,CA-NI 19 El Dorado County,El Dorado County,CA,NI,Sacramento,M2,,
El Monte,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
El Segundo,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Elk Grove,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Elk Valley Rancheria,CA-NC 26 Del Norte County,Del Norte County,CA,NC,East Bay,M1,,
Emeryville,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Encinitas,CA-SE 15 San Diego North Coast,San Diego North Coast,CA,SE,San Diego,M2,,
Enterprise Rancheria,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Escalon,CA-NI 09 Stockton,Stockton,CA,NI,Sacramento,M2,,
Escondido,CA-SE 13 Escondido,Escondido,CA,SE,San Diego,M3,,
Etna,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Eureka,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Ewiiaapaayp Reservation,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
Exeter,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Fair Oaks-Orangevale,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Fairfax,CA-NC 07 Marin County,Marin County,CA,NC,East Bay,M2,,
Fairfield,CA-NC 18 Solano County,Solano County,CA,NC,East Bay,M2,,
Fallbrook San Diego,CA-SE 13 Escondido,Escondido,CA,SE,San Diego,M3,,
Farmersville,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Ferndale,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Fillmore,CA-SW 28 Ventura,Ventura,CA,SW,Los Angeles,M2,,
Firebaugh,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Folsom,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Fontana,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Fort Bragg,CA-NC 22 Mendocino County,Mendocino County,CA,NC,East Bay,M2,,
Fort Independence Reservation,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Fort Jones,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Fort Yuma Indian Reservation,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Fortuna,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Foster City,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
